TITLE     = "Plot3D DataSet"
VARIABLES = "X"
"Y"
"Z"
DATASETAUXDATA Common.SpeedOfSound="1.0"
DATASETAUXDATA Common.VectorVarsAreVelocity="FALSE"
ZONE T="Zone 1"
 I=100, J=31, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(DOUBLE DOUBLE DOUBLE )
 3.800000000E+001 0.000000000E+000 1.072008542E+001
 3.800000000E+001 0.000000000E+000 1.147913531E+001
 3.800000000E+001 0.000000000E+000 1.228939996E+001
 3.800000000E+001 0.000000000E+000 1.315406958E+001
 3.800000000E+001 0.000000000E+000 1.407649508E+001
 3.800000000E+001 0.000000000E+000 1.506019062E+001
 3.800000000E+001 0.000000000E+000 1.610883521E+001
 3.800000000E+001 0.000000000E+000 1.722627333E+001
 3.800000000E+001 0.000000000E+000 1.841651425E+001
 3.800000000E+001 0.000000000E+000 1.968372992E+001
 3.800000000E+001 0.000000000E+000 2.103225118E+001
 3.800000000E+001 0.000000000E+000 2.246656207E+001
 3.800000000E+001 0.000000000E+000 2.399129202E+001
 3.800000000E+001 0.000000000E+000 2.561120557E+001
 3.800000000E+001 0.000000000E+000 2.733118939E+001
 3.800000000E+001 0.000000000E+000 2.915623643E+001
 3.800000000E+001 0.000000000E+000 3.109142665E+001
 3.800000000E+001 0.000000000E+000 3.314190440E+001
 3.800000000E+001 0.000000000E+000 3.531285182E+001
 3.800000000E+001 0.000000000E+000 3.760945837E+001
 3.800000000E+001 0.000000000E+000 4.003688598E+001
 3.800000000E+001 0.000000000E+000 4.260022986E+001
 3.800000000E+001 0.000000000E+000 4.530447475E+001
 3.800000000E+001 0.000000000E+000 4.815444660E+001
 3.800000000E+001 0.000000000E+000 5.115475972E+001
 3.800000000E+001 0.000000000E+000 5.430975965E+001
 3.800000000E+001 0.000000000E+000 5.762346180E+001
 3.800000000E+001 0.000000000E+000 6.109948651E+001
 3.800000000E+001 0.000000000E+000 6.474099098E+001
 3.800000000E+001 0.000000000E+000 6.855059873E+001
 3.800000000E+001 0.000000000E+000 7.253032758E+001
 3.800000000E+001 0.000000000E+000 7.668151722E+001
 3.800000000E+001 0.000000000E+000 8.100475748E+001
 3.800000000E+001 0.000000000E+000 8.549981881E+001
 3.800000000E+001 0.000000000E+000 9.016558645E+001
 3.800000000E+001 0.000000000E+000 9.500000000E+001
 3.800000000E+001 0.000000000E+000 1.000000000E+002
 4.000000000E+001 0.000000000E+000 0.000000000E+000
 4.000000000E+001 0.000000000E+000 1.000000000E-002
 4.000000000E+001 0.000000000E+000 2.072118974E-002
 4.000000000E+001 0.000000000E+000 3.221553400E-002
 4.000000000E+001 0.000000000E+000 4.453873488E-002
 4.000000000E+001 0.000000000E+000 5.775049954E-002
 4.000000000E+001 0.000000000E+000 7.191482692E-002
 4.000000000E+001 0.000000000E+000 8.710031495E-002
 4.000000000E+001 0.000000000E+000 1.033804894E-001
 4.000000000E+001 0.000000000E+000 1.208341560E-001
 4.000000000E+001 0.000000000E+000 1.395457776E-001
 4.000000000E+001 0.000000000E+000 1.596058778E-001
 4.000000000E+001 0.000000000E+000 1.811114733E-001
 4.000000000E+001 0.000000000E+000 2.041665361E-001
 4.000000000E+001 0.000000000E+000 2.288824886E-001
 4.000000000E+001 0.000000000E+000 2.553787336E-001
 4.000000000E+001 0.000000000E+000 2.837832206E-001
 4.000000000E+001 0.000000000E+000 3.142330523E-001
 4.000000000E+001 0.000000000E+000 3.468751332E-001
 4.000000000E+001 0.000000000E+000 3.818668625E-001
 4.000000000E+001 0.000000000E+000 4.193768760E-001
 4.000000000E+001 0.000000000E+000 4.595858382E-001
 4.000000000E+001 0.000000000E+000 5.026872895E-001
 4.000000000E+001 0.000000000E+000 5.488885510E-001
 4.000000000E+001 0.000000000E+000 5.984116912E-001
 4.000000000E+001 0.000000000E+000 6.514945580E-001
 4.000000000E+001 0.000000000E+000 7.083918809E-001
 4.000000000E+001 0.000000000E+000 7.693764468E-001
 4.000000000E+001 0.000000000E+000 8.347403548E-001
 4.000000000E+001 0.000000000E+000 9.047963539E-001
 4.000000000E+001 0.000000000E+000 9.798792696E-001
 4.000000000E+001 0.000000000E+000 1.060347523E+000
 4.000000000E+001 0.000000000E+000 1.146584752E+000
 4.000000000E+001 0.000000000E+000 1.239001528E+000
 4.000000000E+001 0.000000000E+000 1.338037198E+000
 4.000000000E+001 0.000000000E+000 1.444161825E+000
 4.000000000E+001 0.000000000E+000 1.557878265E+000
 4.000000000E+001 0.000000000E+000 1.679724365E+000
 4.000000000E+001 0.000000000E+000 1.810275293E+000
 4.000000000E+001 0.000000000E+000 1.950146017E+000
 4.000000000E+001 0.000000000E+000 2.099993921E+000
 4.000000000E+001 0.000000000E+000 2.260521583E+000
 4.000000000E+001 0.000000000E+000 2.432479699E+000
 4.000000000E+001 0.000000000E+000 2.616670186E+000
 4.000000000E+001 0.000000000E+000 2.813949438E+000
 4.000000000E+001 0.000000000E+000 3.025231771E+000
 4.000000000E+001 0.000000000E+000 3.251493031E+000
 4.000000000E+001 0.000000000E+000 3.493774391E+000
 4.000000000E+001 0.000000000E+000 3.753186325E+000
 4.000000000E+001 0.000000000E+000 4.030912770E+000
 4.000000000E+001 0.000000000E+000 4.328215457E+000
 4.000000000E+001 0.000000000E+000 4.646438435E+000
 4.000000000E+001 0.000000000E+000 4.987012752E+000
 4.000000000E+001 0.000000000E+000 5.351461310E+000
 4.000000000E+001 0.000000000E+000 5.741403865E+000
 4.000000000E+001 0.000000000E+000 6.158562170E+000
 4.000000000E+001 0.000000000E+000 6.604765228E+000
 4.000000000E+001 0.000000000E+000 7.081954641E+000
 4.000000000E+001 0.000000000E+000 7.592190025E+000
 4.000000000E+001 0.000000000E+000 8.137654441E+000
 4.000000000E+001 0.000000000E+000 8.720659820E+000
 4.000000000E+001 0.000000000E+000 9.343652310E+000
 4.000000000E+001 0.000000000E+000 1.000921750E+001
 4.000000000E+001 0.000000000E+000 1.072008542E+001
 4.000000000E+001 0.000000000E+000 1.147913531E+001
 4.000000000E+001 0.000000000E+000 1.228939996E+001
 4.000000000E+001 0.000000000E+000 1.315406958E+001
 4.000000000E+001 0.000000000E+000 1.407649508E+001
 4.000000000E+001 0.000000000E+000 1.506019062E+001
 4.000000000E+001 0.000000000E+000 1.610883521E+001
 4.000000000E+001 0.000000000E+000 1.722627333E+001
 4.000000000E+001 0.000000000E+000 1.841651425E+001
 4.000000000E+001 0.000000000E+000 1.968372992E+001
 4.000000000E+001 0.000000000E+000 2.103225118E+001
 4.000000000E+001 0.000000000E+000 2.246656207E+001
 4.000000000E+001 0.000000000E+000 2.399129202E+001
 4.000000000E+001 0.000000000E+000 2.561120557E+001
 4.000000000E+001 0.000000000E+000 2.733118939E+001
 4.000000000E+001 0.000000000E+000 2.915623643E+001
 4.000000000E+001 0.000000000E+000 3.109142665E+001
 4.000000000E+001 0.000000000E+000 3.314190440E+001
 4.000000000E+001 0.000000000E+000 3.531285182E+001
 4.000000000E+001 0.000000000E+000 3.760945837E+001
 4.000000000E+001 0.000000000E+000 4.003688598E+001
 4.000000000E+001 0.000000000E+000 4.260022986E+001
 4.000000000E+001 0.000000000E+000 4.530447475E+001
 4.000000000E+001 0.000000000E+000 4.815444660E+001
 4.000000000E+001 0.000000000E+000 5.115475972E+001
 4.000000000E+001 0.000000000E+000 5.430975965E+001
 4.000000000E+001 0.000000000E+000 5.762346180E+001
 4.000000000E+001 0.000000000E+000 6.109948651E+001
 4.000000000E+001 0.000000000E+000 6.474099098E+001
 4.000000000E+001 0.000000000E+000 6.855059873E+001
 4.000000000E+001 0.000000000E+000 7.253032758E+001
 4.000000000E+001 0.000000000E+000 7.668151722E+001
 4.000000000E+001 0.000000000E+000 8.100475748E+001
 4.000000000E+001 0.000000000E+000 8.549981881E+001
 4.000000000E+001 0.000000000E+000 9.016558645E+001
 4.000000000E+001 0.000000000E+000 9.500000000E+001
 4.000000000E+001 0.000000000E+000 1.000000000E+002
 4.200000000E+001 0.000000000E+000 0.000000000E+000
 4.200000000E+001 0.000000000E+000 1.000000000E-002
 4.200000000E+001 0.000000000E+000 2.072118974E-002
 4.200000000E+001 0.000000000E+000 3.221553400E-002
 4.200000000E+001 0.000000000E+000 4.453873488E-002
 4.200000000E+001 0.000000000E+000 5.775049954E-002
 4.200000000E+001 0.000000000E+000 7.191482692E-002
 4.200000000E+001 0.000000000E+000 8.710031495E-002
 4.200000000E+001 0.000000000E+000 1.033804894E-001
 4.200000000E+001 0.000000000E+000 1.208341560E-001
 4.200000000E+001 0.000000000E+000 1.395457776E-001
 4.200000000E+001 0.000000000E+000 1.596058778E-001
 4.200000000E+001 0.000000000E+000 1.811114733E-001
 4.200000000E+001 0.000000000E+000 2.041665361E-001
 4.200000000E+001 0.000000000E+000 2.288824886E-001
 4.200000000E+001 0.000000000E+000 2.553787336E-001
 4.200000000E+001 0.000000000E+000 2.837832206E-001
 4.200000000E+001 0.000000000E+000 3.142330523E-001
 4.200000000E+001 0.000000000E+000 3.468751332E-001
 4.200000000E+001 0.000000000E+000 3.818668625E-001
 4.200000000E+001 0.000000000E+000 4.193768760E-001
 4.200000000E+001 0.000000000E+000 4.595858382E-001
 4.200000000E+001 0.000000000E+000 5.026872895E-001
 4.200000000E+001 0.000000000E+000 5.488885510E-001
 4.200000000E+001 0.000000000E+000 5.984116912E-001
 4.200000000E+001 0.000000000E+000 6.514945580E-001
 4.200000000E+001 0.000000000E+000 7.083918809E-001
 4.200000000E+001 0.000000000E+000 7.693764468E-001
 4.200000000E+001 0.000000000E+000 8.347403548E-001
 4.200000000E+001 0.000000000E+000 9.047963539E-001
 4.200000000E+001 0.000000000E+000 9.798792696E-001
 4.200000000E+001 0.000000000E+000 1.060347523E+000
 4.200000000E+001 0.000000000E+000 1.146584752E+000
 4.200000000E+001 0.000000000E+000 1.239001528E+000
 4.200000000E+001 0.000000000E+000 1.338037198E+000
 4.200000000E+001 0.000000000E+000 1.444161825E+000
 4.200000000E+001 0.000000000E+000 1.557878265E+000
 4.200000000E+001 0.000000000E+000 1.679724365E+000
 4.200000000E+001 0.000000000E+000 1.810275293E+000
 4.200000000E+001 0.000000000E+000 1.950146017E+000
 4.200000000E+001 0.000000000E+000 2.099993921E+000
 4.200000000E+001 0.000000000E+000 2.260521583E+000
 4.200000000E+001 0.000000000E+000 2.432479699E+000
 4.200000000E+001 0.000000000E+000 2.616670186E+000
 4.200000000E+001 0.000000000E+000 2.813949438E+000
 4.200000000E+001 0.000000000E+000 3.025231771E+000
 4.200000000E+001 0.000000000E+000 3.251493031E+000
 4.200000000E+001 0.000000000E+000 3.493774391E+000
 4.200000000E+001 0.000000000E+000 3.753186325E+000
 4.200000000E+001 0.000000000E+000 4.030912770E+000
 4.200000000E+001 0.000000000E+000 4.328215457E+000
 4.200000000E+001 0.000000000E+000 4.646438435E+000
 4.200000000E+001 0.000000000E+000 4.987012752E+000
 4.200000000E+001 0.000000000E+000 5.351461310E+000
 4.200000000E+001 0.000000000E+000 5.741403865E+000
 4.200000000E+001 0.000000000E+000 6.158562170E+000
 4.200000000E+001 0.000000000E+000 6.604765228E+000
 4.200000000E+001 0.000000000E+000 7.081954641E+000
 4.200000000E+001 0.000000000E+000 7.592190025E+000
 4.200000000E+001 0.000000000E+000 8.137654441E+000
 4.200000000E+001 0.000000000E+000 8.720659820E+000
 4.200000000E+001 0.000000000E+000 9.343652310E+000
 4.200000000E+001 0.000000000E+000 1.000921750E+001
 4.200000000E+001 0.000000000E+000 1.072008542E+001
 4.200000000E+001 0.000000000E+000 1.147913531E+001
 4.200000000E+001 0.000000000E+000 1.228939996E+001
 4.200000000E+001 0.000000000E+000 1.315406958E+001
 4.200000000E+001 0.000000000E+000 1.407649508E+001
 4.200000000E+001 0.000000000E+000 1.506019062E+001
 4.200000000E+001 0.000000000E+000 1.610883521E+001
 4.200000000E+001 0.000000000E+000 1.722627333E+001
 4.200000000E+001 0.000000000E+000 1.841651425E+001
 4.200000000E+001 0.000000000E+000 1.968372992E+001
 4.200000000E+001 0.000000000E+000 2.103225118E+001
 4.200000000E+001 0.000000000E+000 2.246656207E+001
 4.200000000E+001 0.000000000E+000 2.399129202E+001
 4.200000000E+001 0.000000000E+000 2.561120557E+001
 4.200000000E+001 0.000000000E+000 2.733118939E+001
 4.200000000E+001 0.000000000E+000 2.915623643E+001
 4.200000000E+001 0.000000000E+000 3.109142665E+001
 4.200000000E+001 0.000000000E+000 3.314190440E+001
 4.200000000E+001 0.000000000E+000 3.531285182E+001
 4.200000000E+001 0.000000000E+000 3.760945837E+001
 4.200000000E+001 0.000000000E+000 4.003688598E+001
 4.200000000E+001 0.000000000E+000 4.260022986E+001
 4.200000000E+001 0.000000000E+000 4.530447475E+001
 4.200000000E+001 0.000000000E+000 4.815444660E+001
 4.200000000E+001 0.000000000E+000 5.115475972E+001
 4.200000000E+001 0.000000000E+000 5.430975965E+001
 4.200000000E+001 0.000000000E+000 5.762346180E+001
 4.200000000E+001 0.000000000E+000 6.109948651E+001
 4.200000000E+001 0.000000000E+000 6.474099098E+001
 4.200000000E+001 0.000000000E+000 6.855059873E+001
 4.200000000E+001 0.000000000E+000 7.253032758E+001
 4.200000000E+001 0.000000000E+000 7.668151722E+001
 4.200000000E+001 0.000000000E+000 8.100475748E+001
 4.200000000E+001 0.000000000E+000 8.549981881E+001
 4.200000000E+001 0.000000000E+000 9.016558645E+001
 4.200000000E+001 0.000000000E+000 9.500000000E+001
 4.200000000E+001 0.000000000E+000 1.000000000E+002
 4.400000000E+001 0.000000000E+000 0.000000000E+000
 4.400000000E+001 0.000000000E+000 1.000000000E-002
 4.400000000E+001 0.000000000E+000 2.072118974E-002
 4.400000000E+001 0.000000000E+000 3.221553400E-002
 4.400000000E+001 0.000000000E+000 4.453873488E-002
 4.400000000E+001 0.000000000E+000 5.775049954E-002
 4.400000000E+001 0.000000000E+000 7.191482692E-002
 4.400000000E+001 0.000000000E+000 8.710031495E-002
 4.400000000E+001 0.000000000E+000 1.033804894E-001
 4.400000000E+001 0.000000000E+000 1.208341560E-001
 4.400000000E+001 0.000000000E+000 1.395457776E-001
 4.400000000E+001 0.000000000E+000 1.596058778E-001
 4.400000000E+001 0.000000000E+000 1.811114733E-001
 4.400000000E+001 0.000000000E+000 2.041665361E-001
 4.400000000E+001 0.000000000E+000 2.288824886E-001
 4.400000000E+001 0.000000000E+000 2.553787336E-001
 4.400000000E+001 0.000000000E+000 2.837832206E-001
 4.400000000E+001 0.000000000E+000 3.142330523E-001
 4.400000000E+001 0.000000000E+000 3.468751332E-001
 4.400000000E+001 0.000000000E+000 3.818668625E-001
 4.400000000E+001 0.000000000E+000 4.193768760E-001
 4.400000000E+001 0.000000000E+000 4.595858382E-001
 4.400000000E+001 0.000000000E+000 5.026872895E-001
 4.400000000E+001 0.000000000E+000 5.488885510E-001
 4.400000000E+001 0.000000000E+000 5.984116912E-001
 4.400000000E+001 0.000000000E+000 6.514945580E-001
 4.400000000E+001 0.000000000E+000 7.083918809E-001
 4.400000000E+001 0.000000000E+000 7.693764468E-001
 4.400000000E+001 0.000000000E+000 8.347403548E-001
 4.400000000E+001 0.000000000E+000 9.047963539E-001
 4.400000000E+001 0.000000000E+000 9.798792696E-001
 4.400000000E+001 0.000000000E+000 1.060347523E+000
 4.400000000E+001 0.000000000E+000 1.146584752E+000
 4.400000000E+001 0.000000000E+000 1.239001528E+000
 4.400000000E+001 0.000000000E+000 1.338037198E+000
 4.400000000E+001 0.000000000E+000 1.444161825E+000
 4.400000000E+001 0.000000000E+000 1.557878265E+000
 4.400000000E+001 0.000000000E+000 1.679724365E+000
 4.400000000E+001 0.000000000E+000 1.810275293E+000
 4.400000000E+001 0.000000000E+000 1.950146017E+000
 4.400000000E+001 0.000000000E+000 2.099993921E+000
 4.400000000E+001 0.000000000E+000 2.260521583E+000
 4.400000000E+001 0.000000000E+000 2.432479699E+000
 4.400000000E+001 0.000000000E+000 2.616670186E+000
 4.400000000E+001 0.000000000E+000 2.813949438E+000
 4.400000000E+001 0.000000000E+000 3.025231771E+000
 4.400000000E+001 0.000000000E+000 3.251493031E+000
 4.400000000E+001 0.000000000E+000 3.493774391E+000
 4.400000000E+001 0.000000000E+000 3.753186325E+000
 4.400000000E+001 0.000000000E+000 4.030912770E+000
 4.400000000E+001 0.000000000E+000 4.328215457E+000
 4.400000000E+001 0.000000000E+000 4.646438435E+000
 4.400000000E+001 0.000000000E+000 4.987012752E+000
 4.400000000E+001 0.000000000E+000 5.351461310E+000
 4.400000000E+001 0.000000000E+000 5.741403865E+000
 4.400000000E+001 0.000000000E+000 6.158562170E+000
 4.400000000E+001 0.000000000E+000 6.604765228E+000
 4.400000000E+001 0.000000000E+000 7.081954641E+000
 4.400000000E+001 0.000000000E+000 7.592190025E+000
 4.400000000E+001 0.000000000E+000 8.137654441E+000
 4.400000000E+001 0.000000000E+000 8.720659820E+000
 4.400000000E+001 0.000000000E+000 9.343652310E+000
 4.400000000E+001 0.000000000E+000 1.000921750E+001
 4.400000000E+001 0.000000000E+000 1.072008542E+001
 4.400000000E+001 0.000000000E+000 1.147913531E+001
 4.400000000E+001 0.000000000E+000 1.228939996E+001
 4.400000000E+001 0.000000000E+000 1.315406958E+001
 4.400000000E+001 0.000000000E+000 1.407649508E+001
 4.400000000E+001 0.000000000E+000 1.506019062E+001
 4.400000000E+001 0.000000000E+000 1.610883521E+001
 4.400000000E+001 0.000000000E+000 1.722627333E+001
 4.400000000E+001 0.000000000E+000 1.841651425E+001
 4.400000000E+001 0.000000000E+000 1.968372992E+001
 4.400000000E+001 0.000000000E+000 2.103225118E+001
 4.400000000E+001 0.000000000E+000 2.246656207E+001
 4.400000000E+001 0.000000000E+000 2.399129202E+001
 4.400000000E+001 0.000000000E+000 2.561120557E+001
 4.400000000E+001 0.000000000E+000 2.733118939E+001
 4.400000000E+001 0.000000000E+000 2.915623643E+001
 4.400000000E+001 0.000000000E+000 3.109142665E+001
 4.400000000E+001 0.000000000E+000 3.314190440E+001
 4.400000000E+001 0.000000000E+000 3.531285182E+001
 4.400000000E+001 0.000000000E+000 3.760945837E+001
 4.400000000E+001 0.000000000E+000 4.003688598E+001
 4.400000000E+001 0.000000000E+000 4.260022986E+001
 4.400000000E+001 0.000000000E+000 4.530447475E+001
 4.400000000E+001 0.000000000E+000 4.815444660E+001
 4.400000000E+001 0.000000000E+000 5.115475972E+001
 4.400000000E+001 0.000000000E+000 5.430975965E+001
 4.400000000E+001 0.000000000E+000 5.762346180E+001
 4.400000000E+001 0.000000000E+000 6.109948651E+001
 4.400000000E+001 0.000000000E+000 6.474099098E+001
 4.400000000E+001 0.000000000E+000 6.855059873E+001
 4.400000000E+001 0.000000000E+000 7.253032758E+001
 4.400000000E+001 0.000000000E+000 7.668151722E+001
 4.400000000E+001 0.000000000E+000 8.100475748E+001
 4.400000000E+001 0.000000000E+000 8.549981881E+001
 4.400000000E+001 0.000000000E+000 9.016558645E+001
 4.400000000E+001 0.000000000E+000 9.500000000E+001
 4.400000000E+001 0.000000000E+000 1.000000000E+002
 4.600000000E+001 0.000000000E+000 0.000000000E+000
 4.600000000E+001 0.000000000E+000 1.000000000E-002
 4.600000000E+001 0.000000000E+000 2.072118974E-002
 4.600000000E+001 0.000000000E+000 3.221553400E-002
 4.600000000E+001 0.000000000E+000 4.453873488E-002
 4.600000000E+001 0.000000000E+000 5.775049954E-002
 4.600000000E+001 0.000000000E+000 7.191482692E-002
 4.600000000E+001 0.000000000E+000 8.710031495E-002
 4.600000000E+001 0.000000000E+000 1.033804894E-001
 4.600000000E+001 0.000000000E+000 1.208341560E-001
 4.600000000E+001 0.000000000E+000 1.395457776E-001
 4.600000000E+001 0.000000000E+000 1.596058778E-001
 4.600000000E+001 0.000000000E+000 1.811114733E-001
 4.600000000E+001 0.000000000E+000 2.041665361E-001
 4.600000000E+001 0.000000000E+000 2.288824886E-001
 4.600000000E+001 0.000000000E+000 2.553787336E-001
 4.600000000E+001 0.000000000E+000 2.837832206E-001
 4.600000000E+001 0.000000000E+000 3.142330523E-001
 4.600000000E+001 0.000000000E+000 3.468751332E-001
 4.600000000E+001 0.000000000E+000 3.818668625E-001
 4.600000000E+001 0.000000000E+000 4.193768760E-001
 4.600000000E+001 0.000000000E+000 4.595858382E-001
 4.600000000E+001 0.000000000E+000 5.026872895E-001
 4.600000000E+001 0.000000000E+000 5.488885510E-001
 4.600000000E+001 0.000000000E+000 5.984116912E-001
 4.600000000E+001 0.000000000E+000 6.514945580E-001
 4.600000000E+001 0.000000000E+000 7.083918809E-001
 4.600000000E+001 0.000000000E+000 7.693764468E-001
 4.600000000E+001 0.000000000E+000 8.347403548E-001
 4.600000000E+001 0.000000000E+000 9.047963539E-001
 4.600000000E+001 0.000000000E+000 9.798792696E-001
 4.600000000E+001 0.000000000E+000 1.060347523E+000
 4.600000000E+001 0.000000000E+000 1.146584752E+000
 4.600000000E+001 0.000000000E+000 1.239001528E+000
 4.600000000E+001 0.000000000E+000 1.338037198E+000
 4.600000000E+001 0.000000000E+000 1.444161825E+000
 4.600000000E+001 0.000000000E+000 1.557878265E+000
 4.600000000E+001 0.000000000E+000 1.679724365E+000
 4.600000000E+001 0.000000000E+000 1.810275293E+000
 4.600000000E+001 0.000000000E+000 1.950146017E+000
 4.600000000E+001 0.000000000E+000 2.099993921E+000
 4.600000000E+001 0.000000000E+000 2.260521583E+000
 4.600000000E+001 0.000000000E+000 2.432479699E+000
 4.600000000E+001 0.000000000E+000 2.616670186E+000
 4.600000000E+001 0.000000000E+000 2.813949438E+000
 4.600000000E+001 0.000000000E+000 3.025231771E+000
 4.600000000E+001 0.000000000E+000 3.251493031E+000
 4.600000000E+001 0.000000000E+000 3.493774391E+000
 4.600000000E+001 0.000000000E+000 3.753186325E+000
 4.600000000E+001 0.000000000E+000 4.030912770E+000
 4.600000000E+001 0.000000000E+000 4.328215457E+000
 4.600000000E+001 0.000000000E+000 4.646438435E+000
 4.600000000E+001 0.000000000E+000 4.987012752E+000
 4.600000000E+001 0.000000000E+000 5.351461310E+000
 4.600000000E+001 0.000000000E+000 5.741403865E+000
 4.600000000E+001 0.000000000E+000 6.158562170E+000
 4.600000000E+001 0.000000000E+000 6.604765228E+000
 4.600000000E+001 0.000000000E+000 7.081954641E+000
 4.600000000E+001 0.000000000E+000 7.592190025E+000
 4.600000000E+001 0.000000000E+000 8.137654441E+000
 4.600000000E+001 0.000000000E+000 8.720659820E+000
 4.600000000E+001 0.000000000E+000 9.343652310E+000
 4.600000000E+001 0.000000000E+000 1.000921750E+001
 4.600000000E+001 0.000000000E+000 1.072008542E+001
 4.600000000E+001 0.000000000E+000 1.147913531E+001
 4.600000000E+001 0.000000000E+000 1.228939996E+001
 4.600000000E+001 0.000000000E+000 1.315406958E+001
 4.600000000E+001 0.000000000E+000 1.407649508E+001
 4.600000000E+001 0.000000000E+000 1.506019062E+001
 4.600000000E+001 0.000000000E+000 1.610883521E+001
 4.600000000E+001 0.000000000E+000 1.722627333E+001
 4.600000000E+001 0.000000000E+000 1.841651425E+001
 4.600000000E+001 0.000000000E+000 1.968372992E+001
 4.600000000E+001 0.000000000E+000 2.103225118E+001
 4.600000000E+001 0.000000000E+000 2.246656207E+001
 4.600000000E+001 0.000000000E+000 2.399129202E+001
 4.600000000E+001 0.000000000E+000 2.561120557E+001
 4.600000000E+001 0.000000000E+000 2.733118939E+001
 4.600000000E+001 0.000000000E+000 2.915623643E+001
 4.600000000E+001 0.000000000E+000 3.109142665E+001
 4.600000000E+001 0.000000000E+000 3.314190440E+001
 4.600000000E+001 0.000000000E+000 3.531285182E+001
 4.600000000E+001 0.000000000E+000 3.760945837E+001
 4.600000000E+001 0.000000000E+000 4.003688598E+001
 4.600000000E+001 0.000000000E+000 4.260022986E+001
 4.600000000E+001 0.000000000E+000 4.530447475E+001
 4.600000000E+001 0.000000000E+000 4.815444660E+001
 4.600000000E+001 0.000000000E+000 5.115475972E+001
 4.600000000E+001 0.000000000E+000 5.430975965E+001
 4.600000000E+001 0.000000000E+000 5.762346180E+001
 4.600000000E+001 0.000000000E+000 6.109948651E+001
 4.600000000E+001 0.000000000E+000 6.474099098E+001
 4.600000000E+001 0.000000000E+000 6.855059873E+001
 4.600000000E+001 0.000000000E+000 7.253032758E+001
 4.600000000E+001 0.000000000E+000 7.668151722E+001
 4.600000000E+001 0.000000000E+000 8.100475748E+001
 4.600000000E+001 0.000000000E+000 8.549981881E+001
 4.600000000E+001 0.000000000E+000 9.016558645E+001
 4.600000000E+001 0.000000000E+000 9.500000000E+001
 4.600000000E+001 0.000000000E+000 1.000000000E+002
 4.800000000E+001 0.000000000E+000 0.000000000E+000
 4.800000000E+001 0.000000000E+000 1.000000000E-002
 4.800000000E+001 0.000000000E+000 2.072118974E-002
 4.800000000E+001 0.000000000E+000 3.221553400E-002
 4.800000000E+001 0.000000000E+000 4.453873488E-002
 4.800000000E+001 0.000000000E+000 5.775049954E-002
 4.800000000E+001 0.000000000E+000 7.191482692E-002
 4.800000000E+001 0.000000000E+000 8.710031495E-002
 4.800000000E+001 0.000000000E+000 1.033804894E-001
 4.800000000E+001 0.000000000E+000 1.208341560E-001
 4.800000000E+001 0.000000000E+000 1.395457776E-001
 4.800000000E+001 0.000000000E+000 1.596058778E-001
 4.800000000E+001 0.000000000E+000 1.811114733E-001
 4.800000000E+001 0.000000000E+000 2.041665361E-001
 4.800000000E+001 0.000000000E+000 2.288824886E-001
 4.800000000E+001 0.000000000E+000 2.553787336E-001
 4.800000000E+001 0.000000000E+000 2.837832206E-001
 4.800000000E+001 0.000000000E+000 3.142330523E-001
 4.800000000E+001 0.000000000E+000 3.468751332E-001
 4.800000000E+001 0.000000000E+000 3.818668625E-001
 4.800000000E+001 0.000000000E+000 4.193768760E-001
 4.800000000E+001 0.000000000E+000 4.595858382E-001
 4.800000000E+001 0.000000000E+000 5.026872895E-001
 4.800000000E+001 0.000000000E+000 5.488885510E-001
 4.800000000E+001 0.000000000E+000 5.984116912E-001
 4.800000000E+001 0.000000000E+000 6.514945580E-001
 4.800000000E+001 0.000000000E+000 7.083918809E-001
 4.800000000E+001 0.000000000E+000 7.693764468E-001
 4.800000000E+001 0.000000000E+000 8.347403548E-001
 4.800000000E+001 0.000000000E+000 9.047963539E-001
 4.800000000E+001 0.000000000E+000 9.798792696E-001
 4.800000000E+001 0.000000000E+000 1.060347523E+000
 4.800000000E+001 0.000000000E+000 1.146584752E+000
 4.800000000E+001 0.000000000E+000 1.239001528E+000
 4.800000000E+001 0.000000000E+000 1.338037198E+000
 4.800000000E+001 0.000000000E+000 1.444161825E+000
 4.800000000E+001 0.000000000E+000 1.557878265E+000
 4.800000000E+001 0.000000000E+000 1.679724365E+000
 4.800000000E+001 0.000000000E+000 1.810275293E+000
 4.800000000E+001 0.000000000E+000 1.950146017E+000
 4.800000000E+001 0.000000000E+000 2.099993921E+000
 4.800000000E+001 0.000000000E+000 2.260521583E+000
 4.800000000E+001 0.000000000E+000 2.432479699E+000
 4.800000000E+001 0.000000000E+000 2.616670186E+000
 4.800000000E+001 0.000000000E+000 2.813949438E+000
 4.800000000E+001 0.000000000E+000 3.025231771E+000
 4.800000000E+001 0.000000000E+000 3.251493031E+000
 4.800000000E+001 0.000000000E+000 3.493774391E+000
 4.800000000E+001 0.000000000E+000 3.753186325E+000
 4.800000000E+001 0.000000000E+000 4.030912770E+000
 4.800000000E+001 0.000000000E+000 4.328215457E+000
 4.800000000E+001 0.000000000E+000 4.646438435E+000
 4.800000000E+001 0.000000000E+000 4.987012752E+000
 4.800000000E+001 0.000000000E+000 5.351461310E+000
 4.800000000E+001 0.000000000E+000 5.741403865E+000
 4.800000000E+001 0.000000000E+000 6.158562170E+000
